time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2021-01-16T00:00:00.000Z","LatLng(34.75, 136.7)","444.57","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-23T00:00:00.000Z","LatLng(34.75, 136.7)","591.5","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-30T00:00:00.000Z","LatLng(34.75, 136.7)","4.46","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-06T00:00:00.000Z","LatLng(34.75, 136.7)","-48.2","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-13T00:00:00.000Z","LatLng(34.75, 136.7)","-59.48","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-20T00:00:00.000Z","LatLng(34.75, 136.7)","116.36","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-27T00:00:00.000Z","LatLng(34.75, 136.7)","138.52","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-06T00:00:00.000Z","LatLng(34.75, 136.7)","31.49","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-13T00:00:00.000Z","LatLng(34.75, 136.7)","17.63","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-20T00:00:00.000Z","LatLng(34.75, 136.7)","30.18","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-27T00:00:00.000Z","LatLng(34.75, 136.7)","35.23","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-03T00:00:00.000Z","LatLng(34.75, 136.7)","113.93","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-10T00:00:00.000Z","LatLng(34.75, 136.7)","153.22","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-17T00:00:00.000Z","LatLng(34.75, 136.7)","-23.8","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-24T00:00:00.000Z","LatLng(34.75, 136.7)","63.46","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-05-01T00:00:00.000Z","LatLng(34.75, 136.7)","236.28","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-05-08T00:00:00.000Z","LatLng(34.75, 136.7)","115.07","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-05-22T00:00:00.000Z","LatLng(34.75, 136.7)","69.94","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
